student_name,class_name,stream_name,date,status,notes
Amara Nakato,S.2,East,2026-02-03,present,
Brian Ssemwanga,S.2,East,2026-02-03,present,
Christine Aber,S.2,East,2026-02-03,absent,Sick - fever
David Okello,S.2,East,2026-02-03,present,
Esther Namukasa,S.2,East,2026-02-03,late,Arrived 20 minutes late
Frank Ochieng,S.2,West,2026-02-03,present,
Grace Atim,S.2,West,2026-02-03,present,
Henry Mubiru,S.2,West,2026-02-03,absent,Family funeral
Irene Nalwoga,S.2,West,2026-02-03,present,
James Byarugaba,S.2,West,2026-02-03,present,
Josephine Auma,S.2,East,2026-02-04,present,
Kenneth Turyahabwe,S.2,East,2026-02-04,present,
Lydia Nassazi,S.2,East,2026-02-04,present,
Michael Ocen,S.2,East,2026-02-04,absent,
Naomi Kisakye,S.2,East,2026-02-04,present,
Patrick Ssali,S.2,West,2026-02-04,present,
Rachel Achola,S.2,West,2026-02-04,late,
Samuel Waweru,S.2,West,2026-02-04,present,
Tabitha Nekesa,S.2,West,2026-02-04,present,
Umar Ddumba,S.2,West,2026-02-04,present,
