first_name,last_name,dob,gender,class_name,stream_name,student_type,nationality,religion,previous_school,medical_notes
Amara,Nakato,2011-03-15,Female,S.1,East,day,Ugandan,Christian,Kiyinda Primary School,
Brian,Ssemwanga,2011-07-22,Male,S.1,East,boarder,Ugandan,Muslim,Kibuli Primary School,
Christine,Aber,2011-01-10,Female,S.1,West,day,Ugandan,Catholic,St. Mary's Primary School,Mild asthma - has inhaler
David,Okello,2011-11-05,Male,S.1,West,day,Ugandan,Christian,Mbale Primary School,
Esther,Namukasa,2011-05-20,Female,S.1,East,boarder,Ugandan,Christian,Gayaza Primary School,
Frank,Ochieng,2011-08-14,Male,S.1,West,day,Ugandan,Muslim,Green Hill Academy,
Grace,Atim,2010-02-28,Female,S.2,East,day,Ugandan,Christian,Nakawa Primary School,
Henry,Mubiru,2010-09-17,Male,S.2,East,boarder,Ugandan,Catholic,St. Jude Primary School,
Irene,Nalwoga,2010-04-03,Female,S.2,West,day,Ugandan,Christian,Ntinda Primary School,
James,Byarugaba,2010-12-19,Male,S.2,West,boarder,Ugandan,Anglican,Mbarara Primary School,
Josephine,Auma,2009-06-11,Female,S.3,East,day,Ugandan,Christian,Gulu Primary School,
Kenneth,Turyahabwe,2009-10-25,Male,S.3,East,boarder,Ugandan,Catholic,Kabale Primary School,
Lydia,Nassazi,2009-03-08,Female,S.3,West,day,Ugandan,Muslim,Old Kampala Primary,
Michael,Ocen,2009-08-30,Male,S.3,West,day,Ugandan,Christian,St. Peters Primary Soroti,
Naomi,Kisakye,2008-01-14,Female,S.4,East,boarder,Ugandan,Christian,Naalya Primary School,
Patrick,Ssali,2008-07-06,Male,S.4,East,day,Ugandan,Anglican,Kampala Parents School,
Rachel,Achola,2008-11-22,Female,S.4,West,boarder,Ugandan,Christian,Sacred Heart Primary Gulu,
Samuel,Waweru,2008-04-16,Male,S.4,West,day,Kenyan,Christian,Kisumu Primary Kenya,
